roi,subj,input,nzmean,nzvoxels,nzsigma
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.261127,178,0.139482
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,511.163456,178,73.321951
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.822522,178,0.413419
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.767818,178,0.110138
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.274268,178,0.139482
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,511.163456,178,73.321951
LeftPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.871530,178,0.413419
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.005216,178,0.000748
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.777837,178,0.111584
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.261134,178,0.139463
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,511.025877,178,73.324221
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.823047,178,0.413423
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.767695,178,0.110129
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.274257,178,0.139455
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,511.025877,178,73.324221
LeftPallidum,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.871983,178,0.413413
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006940,49,0.000985
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.034925,49,0.146861
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.024625,49,0.137304
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,679.979639,49,96.491856
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.129427,49,0.544070
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.021413,49,0.144943
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.011484,49,0.137304
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,679.979639,49,96.491856
LeftAccumbens,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.080419,49,0.544070
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006942,49,0.000986
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.035220,49,0.147028
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.025011,49,0.137452
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,680.068229,49,96.499698
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.130495,49,0.544507
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.021708,49,0.145062
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.011875,49,0.137440
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,680.068229,49,96.499698
LeftAccumbens,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.081499,49,0.544514
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006745,303,0.001170
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.005863,303,0.174482
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.014237,303,0.216007
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,660.890487,303,114.638443
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.021738,303,0.646396
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.992730,303,0.172203
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.027379,303,0.216007
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,660.890487,303,114.638443
RightCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.027270,303,0.646396
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006745,303,0.001171
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.005847,303,0.174639
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.014167,303,0.216234
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,660.925129,303,114.721122
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.021698,303,0.646838
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.992752,303,0.172357
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.027269,303,0.216223
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,660.925129,303,114.721122
RightCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.027208,303,0.646842
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006632,514,0.000593
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.988997,514,0.088367
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.015282,514,0.091532
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,649.812986,514,58.060814
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.040760,514,0.327369
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.976085,514,0.087213
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.028423,514,0.091532
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,649.812986,514,58.060814
RightPutamen,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.089767,514,0.327369
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.006632,514,0.000593
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.988906,514,0.088441
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.015281,514,0.091590
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,649.784400,514,58.103671
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,-0.041124,514,0.327658
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,0.975995,514,0.087273
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,0.028422,514,0.091578
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,649.784400,514,58.103671
RightPutamen,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,-0.090105,514,0.327616
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.005494,174,0.000925
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,0.819284,174,0.137927
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,0.213235,174,0.164653
RightPallidum,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,538.302952,174,90.625084
