roi,subj,input,nzmean,nzvoxels,nzsigma
ventricles,11409_20170525,r2primeMap_MNI152_T1_2009c_al,6.837243,5316,6.255172
ventricles,11411_20160115,r2primeMap_MNI152_T1_2009c_al,5.122464,5629,3.234787
ventricles,11411_20170818,r2primeMap_MNI152_T1_2009c_al,5.239846,5592,3.168188
ventricles,11414_20151107,r2primeMap_MNI152_T1_2009c_al,4.681211,4651,3.428886
ventricles,11414_20170603,r2primeMap_MNI152_T1_2009c_al,4.285925,4318,3.261990
ventricles,11415_20160108,r2primeMap_MNI152_T1_2009c_al,7.237338,6527,5.390699
ventricles,11415_20170622,r2primeMap_MNI152_T1_2009c_al,7.939433,6058,5.380874
ventricles,11419_20151203,r2primeMap_MNI152_T1_2009c_al,5.760533,4946,4.127858
ventricles,11419_20170526,r2primeMap_MNI152_T1_2009c_al,5.486643,5444,3.761295
ventricles,11421_20151104,r2primeMap_MNI152_T1_2009c_al,5.608252,4664,4.580632
ventricles,11421_20170428,r2primeMap_MNI152_T1_2009c_al,4.989152,4763,4.199461
ventricles,11425_20160215,r2primeMap_MNI152_T1_2009c_al,5.694160,5583,3.699982
ventricles,11425_20171127,r2primeMap_MNI152_T1_2009c_al,5.834843,5261,3.463551
ventricles,11426_20151112,r2primeMap_MNI152_T1_2009c_al,3.502838,4446,2.906034
ventricles,11426_20170504,r2primeMap_MNI152_T1_2009c_al,4.332820,4696,3.410498
ventricles,11429_20150918,r2primeMap_MNI152_T1_2009c_al,6.120575,5605,3.770664
ventricles,11429_20170406,r2primeMap_MNI152_T1_2009c_al,6.292167,5829,3.824460
ventricles,11431_20151009,r2primeMap_MNI152_T1_2009c_al,8.438604,4979,7.983586
ventricles,11431_20170323,r2primeMap_MNI152_T1_2009c_al,5.533361,4306,5.924889
ventricles,11434_20160601,r2primeMap_MNI152_T1_2009c_al,4.696512,4201,4.187766
ventricles,11439_20151008,r2primeMap_MNI152_T1_2009c_al,6.896044,6750,4.730443
ventricles,11441_20151028,r2primeMap_MNI152_T1_2009c_al,4.204535,5115,2.962812
ventricles,11441_20170420,r2primeMap_MNI152_T1_2009c_al,3.863002,5123,3.107385
