filename	volume_norm_3dROIstats	time_norm_3dcalc	nvox	.concat_nvol	nvolx_nocen	expr
../output/10195_20170824/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmedian	147272	270	320	(x-m)/s*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmean	147308	288	320	(x/m)*1000/147308
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmean	147308	288	320	(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmean	147308	288	320	-1*log(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	147308	288	320	(x/m)*m*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmean	147308	288	320	(x-m)/s*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmean	147308	288	320	(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmean	147308	288	320	-1*log(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	147308	288	320	(x/m)*m*1
../output/10195_20170824/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmean	147308	288	320	(x-m)/s*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmedian	147308	288	320	(x/m)*1000/147308
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmedian	147308	288	320	(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmedian	147308	288	320	-1*log(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	147308	288	320	(x/m)*m*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmedian	147308	288	320	(x-m)/s*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmedian	147308	288	320	(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmedian	147308	288	320	-1*log(x/m)*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	147308	288	320	(x/m)*m*1
../output/10195_20170824/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmedian	147308	288	320	(x-m)/s*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmean	149832	284	320	(x/m)*1000/149832
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmean	149832	284	320	(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmean	149832	284	320	-1*log(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	149832	284	320	(x/m)*m*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmean	149832	284	320	(x-m)/s*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmean	149832	284	320	(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmean	149832	284	320	-1*log(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	149832	284	320	(x/m)*m*1
../output/10195_20190321/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmean	149832	284	320	(x-m)/s*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmedian	149832	284	320	(x/m)*1000/149832
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmedian	149832	284	320	(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmedian	149832	284	320	-1*log(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	149832	284	320	(x/m)*m*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmedian	149832	284	320	(x-m)/s*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmedian	149832	284	320	(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmedian	149832	284	320	-1*log(x/m)*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	149832	284	320	(x/m)*m*1
../output/10195_20190321/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmedian	149832	284	320	(x-m)/s*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmean	147587	257	320	(x/m)*1000/147587
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmean	147587	257	320	(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmean	147587	257	320	-1*log(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	147587	257	320	(x/m)*m*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmean	147587	257	320	(x-m)/s*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmean	147587	257	320	(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmean	147587	257	320	-1*log(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	147587	257	320	(x/m)*m*1
../output/10195_20190321/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmean	147587	257	320	(x-m)/s*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmedian	147587	257	320	(x/m)*1000/147587
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmedian	147587	257	320	(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmedian	147587	257	320	-1*log(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	147587	257	320	(x/m)*m*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmedian	147587	257	320	(x-m)/s*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmedian	147587	257	320	(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmedian	147587	257	320	-1*log(x/m)*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	147587	257	320	(x/m)*m*1
../output/10195_20190321/pet2/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmedian	147587	257	320	(x-m)/s*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmean	153179	199	320	(x/m)*1000/153179
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmean	153179	199	320	(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmean	153179	199	320	-1*log(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	153179	199	320	(x/m)*m*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmean	153179	199	320	(x-m)/s*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmean	153179	199	320	(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmean	153179	199	320	-1*log(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	153179	199	320	(x/m)*m*1
../output/10843_20151109/pet1/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmean	153179	199	320	(x-m)/s*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmedian	153179	199	320	(x/m)*1000/153179
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmedian	153179	199	320	(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmedian	153179	199	320	-1*log(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	153179	199	320	(x/m)*m*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmedian	153179	199	320	(x-m)/s*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmedian	153179	199	320	(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmedian	153179	199	320	-1*log(x/m)*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmedian	153179	199	320	(x/m)*m*1
../output/10843_20151109/pet1/_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmedian	nzmedian	153179	199	320	(x-m)/s*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2.log.json	nzmean	nzmean	151497	169	320	(x/m)*1000/151497
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmean	nzmean	151497	169	320	(x/m)*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmean	nzmean	151497	169	320	-1*log(x/m)*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	151497	169	320	(x/m)*m*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2.log.json	nzmean	nzmean	151497	169	320	(x-m)/s*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2.log.json	nzmedian	nzmean	151497	169	320	(x/m)*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2.log.json	nzmedian	nzmean	151497	169	320	-1*log(x/m)*1
../output/10843_20151109/pet2/_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2.log.json	none	nzmean	151497	169	320	(x/m)*m*1
